Noise,Security,Accuracy,Battery Consumption
3,1,21,3
5,9,23,9
2,7,113,4
10,5,154,5
6,4,349,8
9,6,208,5
7,8,164,1
3,1,95,8
2,6,222,8
3,8,354,9
9,8,202,8
8,7,303,9
10,7,313,3
6,9,62,4
1,8,60,7
8,3,237,6
7,5,281,7
9,5,187,4
10,3,347,2
4,6,428,4
7,5,452,10
10,9,125,5
8,7,172,5
4,9,342,3
8,4,145,4
6,6,38,8
3,9,212,6
10,9,275,9
6,2,361,4
6,4,247,2
8,3,392,1
4,8,136,1
5,2,113,6
5,6,287,2
9,8,348,3
7,10,53,1
2,4,361,3
1,7,299,5
7,6,215,10
4,4,71,5
8,1,280,10
4,5,148,6
9,3,232,1
1,5,31,7
4,6,89,8
10,1,170,2
5,10,388,1
3,6,67,1
6,5,80,4
6,6,67,2
3,10,113,7
4,4,452,10
2,10,140,9
1,9,13,5
4,8,6,1
8,7,381,10
9,1,411,9
7,4,124,8
9,8,89,7
3,8,241,1
8,8,170,9
9,1,68,9
2,5,336,7
2,2,271,9
10,9,125,6
2,5,305,5
2,3,115,7
10,5,291,1
3,8,55,7
10,5,469,10
8,2,73,1
2,1,389,5
2,3,139,1
1,5,183,5
9,3,492,3
2,8,406,2
8,6,39,10
4,3,351,4
2,1,122,1
3,2,215,4
10,1,440,8
4,3,62,10
4,1,381,10
5,3,355,7
10,8,217,4
7,1,266,3
9,10,255,3
8,1,208,8
3,5,61,7
4,3,132,6
10,4,181,1
5,10,215,4
1,3,213,1
8,1,232,3
2,4,403,3
8,6,172,8
7,3,173,1
8,8,123,7
2,2,348,8
10,1,391,4
10,8,50,5
1,4,473,1
9,6,474,10
4,2,182,7
9,6,457,2
8,8,436,7
2,6,470,7
4,6,339,1
7,9,283,10
8,7,330,8
10,10,330,4
5,4,26,2
1,3,324,10
8,4,319,2
9,5,78,6
7,6,89,1
5,4,442,1
8,10,259,3
10,5,91,1
8,1,6,4
3,10,127,10
3,2,106,4
7,1,307,4
6,6,387,9
4,8,66,7
3,8,378,9
4,10,486,10
3,9,237,3
2,6,78,3
5,8,83,6
3,8,448,10
8,1,465,3
2,3,494,6
10,3,282,1
1,5,156,7
2,2,259,3
7,3,183,8
8,3,321,3
1,6,375,5
7,8,385,4
2,7,99,5
10,6,387,7
9,5,488,7
7,5,489,7
3,10,199,4
4,9,174,6
9,6,486,1
3,6,85,3
2,6,446,2
7,7,479,8
7,6,387,9
1,1,364,3
1,1,373,4
10,7,223,2
9,1,98,10
1,6,432,8
3,5,478,4
2,2,301,1
6,1,100,4
2,6,205,8
9,3,384,3
1,4,106,8
8,4,303,2
9,5,400,4
7,3,413,3
6,3,96,10
5,5,123,8
7,3,32,6
5,8,76,9
4,4,211,2
5,4,75,10
10,4,43,3
6,2,140,9
4,10,73,6
1,1,326,3
6,4,50,4
2,10,81,3
7,7,453,3
7,2,404,3
8,10,307,6
3,7,237,1
5,8,40,6
7,2,182,7
4,1,353,7
8,7,34,8
9,6,147,5
1,10,101,8
4,4,491,2
8,5,202,7
8,2,60,1
6,4,378,1
7,2,60,5
6,5,449,1
2,5,199,3
7,2,176,10
6,2,136,7
8,1,462,6
10,4,54,2
5,1,156,10
1,8,332,6
5,9,155,1
8,8,476,10
10,1,255,3
3,10,371,4
9,9,216,3
3,5,267,4
1,10,44,1
3,3,461,8
6,4,14,9
2,10,496,7
5,1,470,4
3,6,206,5
6,2,455,10
4,3,223,6
1,6,420,10
4,6,296,2
1,10,219,10
10,6,410,3
5,9,27,1
1,1,254,3
1,3,401,4
6,4,393,1
8,7,300,5
5,2,357,3
5,6,195,4
6,8,491,6
4,7,306,3
10,8,82,3
8,7,457,8
1,2,204,10
3,3,178,5
10,2,447,1
6,5,202,10
9,3,230,1
3,1,318,1
1,2,16,5
10,7,401,3
8,7,253,9
7,2,187,2
10,7,26,5
2,8,167,6
7,5,261,10
9,8,493,2
6,5,300,2
7,6,334,1
5,8,353,8
9,9,353,9
2,1,126,9
8,10,348,9
3,9,499,8
2,10,108,7
8,3,27,7
9,6,236,6
7,7,221,1
3,4,76,3
9,2,425,5
4,5,412,8
8,6,443,9
1,2,280,9
9,2,415,5
10,5,489,9
7,7,70,2
6,4,93,4
1,4,97,1
7,10,92,10
9,9,261,1
10,6,217,3
7,2,162,4
2,6,360,1
1,9,267,7
4,7,213,2
9,5,213,4
9,10,239,4
6,3,278,3
7,8,221,4
3,6,157,2
3,8,19,2
10,9,430,3
6,9,244,10
3,5,145,5
5,6,208,3
7,4,60,4
9,1,329,3
1,10,164,8
4,6,287,2
3,3,315,6
3,2,104,8
7,5,201,10
10,10,162,3
6,3,489,3
10,6,339,6
8,2,429,6
4,5,290,9
5,1,134,2
2,6,349,9
1,7,25,8
5,2,263,10
1,2,389,4
5,1,45,6
2,6,252,6
4,8,489,7
5,8,140,4
10,2,229,8
8,4,460,3
8,9,422,1
9,4,485,1
6,6,97,6
4,3,285,5
3,8,480,7
2,10,454,9
6,5,421,4
2,8,228,3
1,1,259,7
4,2,267,10
10,6,328,5
8,10,499,3
5,1,155,9
1,9,252,5
8,10,92,9
5,7,62,1
7,2,31,8
4,5,369,3
6,6,103,3
6,5,5,1
4,10,239,8
1,6,496,9
7,6,178,5
8,1,289,3
10,8,447,5
1,3,447,10
5,5,436,4
8,5,419,5
8,2,84,2
10,5,490,4
3,7,69,9
2,9,469,4
8,4,238,1
6,8,497,6
5,8,156,8
7,2,382,3
7,6,454,2
10,9,6,8
4,8,325,9
6,5,32,6
4,1,281,10
7,7,154,10
2,7,462,10
2,10,72,2
6,6,339,5
8,7,296,5
9,5,344,8
4,6,352,3
3,8,441,7
2,1,63,1
9,7,17,1
2,1,297,5
5,10,224,1
3,5,163,1
9,2,192,8
6,7,8,5
7,5,492,4
8,8,74,5
6,2,272,1
9,9,468,6
6,1,198,5
8,6,277,6
2,2,283,1
10,7,484,6
6,10,437,1
9,7,395,7
7,1,475,9
5,9,205,5
5,7,118,6
10,1,320,8
7,9,324,8
10,5,222,5
5,10,56,6
6,8,374,7
9,9,172,10
9,2,310,4
9,5,59,2
7,5,6,10
4,6,194,3
7,8,49,8
3,8,103,4
3,4,500,8
3,4,86,2
5,4,220,8
4,5,309,9
9,4,353,10
9,2,336,6
4,5,150,10
7,3,408,4
6,2,459,6
3,10,17,3
4,1,257,10
10,9,395,4
10,9,244,6
4,3,490,3
8,2,245,6
5,2,66,1
2,4,163,9
9,6,470,6
7,9,430,6
6,2,462,7
3,2,27,10
8,10,421,7
4,7,199,1
8,3,496,8
7,6,115,1
10,7,152,2
8,1,147,6
3,7,46,6
10,3,378,10
6,8,298,3
6,4,41,6
6,8,68,8
3,5,420,7
9,8,311,9
2,4,360,1
4,5,330,10
1,7,114,1
10,2,429,2
9,4,115,10
3,9,426,9
2,7,119,5
5,4,293,1
5,5,405,5
9,3,351,9
9,4,286,3
2,4,79,4
7,10,259,2
2,10,327,6
2,8,471,3
6,7,63,3
1,4,59,4
9,1,25,5
6,5,258,2
3,10,153,3
9,1,376,4
3,7,335,1
3,10,162,7
10,9,422,6
3,5,416,2
8,4,485,6
6,7,338,2
4,9,83,3
7,8,169,3
9,3,344,1
2,9,26,5
2,1,475,2
4,6,225,10
5,3,247,1
4,9,46,6
7,4,15,3
4,3,195,8
2,6,380,3
7,3,256,7
1,2,209,4
3,3,9,3
4,8,288,1
9,3,395,8
8,7,38,4
6,10,373,1
9,8,471,6
3,10,277,7
5,3,167,7
9,1,151,3
10,5,238,10
1,10,194,6
4,4,28,6
2,8,352,1
7,8,341,8
10,1,326,5
9,7,202,6
7,6,384,1
10,6,376,10
1,8,237,1
2,2,94,2
8,3,176,5
1,10,432,8
6,2,305,4
1,8,345,3
10,6,164,4
6,3,480,10
9,1,71,7
10,9,168,1
10,8,195,8
2,2,273,8
4,9,329,3
9,10,473,7
4,1,420,3
3,5,62,8
2,4,383,5
8,5,52,2
9,3,103,4
7,5,460,9
2,7,178,9
8,4,458,10
1,7,256,8
9,5,37,3
5,4,304,3
1,10,90,7
10,8,323,6
4,7,387,2
8,6,82,10
7,4,250,7
9,9,68,3
5,10,306,4
3,6,389,8
7,2,324,5
5,2,301,7
8,1,174,2
5,9,222,3
2,9,17,8
5,3,16,3
9,9,365,3
9,10,317,8
4,7,266,5
9,1,35,1
7,9,472,10
8,5,322,7
9,8,497,3
8,9,409,9
5,4,104,2
8,1,231,5
1,5,443,8
8,3,442,8
3,5,295,2
2,1,401,10
3,1,412,9
7,2,229,6
5,2,478,1
9,10,110,7
7,6,328,7
7,9,143,7
4,5,340,1
5,8,66,2
2,6,165,4
9,8,153,7
9,8,486,5
3,2,489,6
5,1,460,2
5,4,237,6
2,2,318,8
1,3,458,4
4,6,221,9
3,2,269,7
3,4,184,6
9,5,106,8
9,8,447,7
6,3,123,3
10,2,330,8
3,10,31,4
3,1,212,2
3,7,308,3
4,5,88,1
3,6,47,9
7,6,165,8
10,2,272,2
7,2,12,2
3,1,206,1
6,2,473,3
10,8,44,6
10,6,294,2
4,6,481,10
3,6,180,2
9,4,38,2
10,8,75,8
4,10,298,3
3,8,255,9
10,5,249,2
9,6,180,10
4,6,45,3
3,6,460,3
10,8,98,2
9,1,468,7
2,5,25,7
9,7,105,8
4,6,209,8
2,7,145,7
9,9,253,7
7,2,266,9
3,9,212,2
7,9,96,8
6,7,309,1
1,6,292,6
2,3,446,2
9,3,27,6
8,6,100,6
3,9,344,6
5,7,125,2
6,4,317,1
5,5,404,4
7,5,95,9
6,6,356,5
4,6,257,8
9,10,79,8
8,7,253,4
10,3,259,7
2,4,445,5
9,8,259,2
10,6,237,4
7,4,210,3
9,6,328,2
1,9,232,8
5,2,107,8
9,9,401,4
7,10,57,8
7,5,108,3
10,8,351,9
8,8,432,6
3,9,116,5
4,8,166,3
7,9,206,10
6,7,438,1
5,6,115,8
7,5,369,7
9,9,305,1
1,7,272,5
4,1,487,4
10,5,351,5
7,10,93,9
10,5,251,5
3,3,230,3
9,3,234,10
7,8,231,9
4,1,489,7
1,6,245,1
5,3,10,8
9,8,436,10
3,9,307,3
1,1,415,6
9,3,149,4
1,5,158,2
4,4,8,5
6,2,65,1
2,5,101,2
1,10,151,9
9,4,76,8
4,8,266,3
8,6,81,9
9,8,415,10
9,3,379,10
5,7,311,10
7,7,493,3
1,8,473,7
4,6,132,4
10,2,375,2
5,7,414,6
6,2,88,4
5,4,306,6
10,9,444,5
10,10,184,5
2,1,10,9
3,7,64,8
7,6,157,5
9,6,182,8
1,1,162,4
7,8,375,2
7,4,320,6
1,5,40,5
8,5,389,6
5,2,230,4
10,1,10,10
8,4,78,5
3,3,301,1
7,6,362,8
5,6,450,8
4,4,175,9
6,7,173,2
8,9,100,2
9,9,368,5
6,6,276,10
1,4,216,2
1,4,83,5
2,1,487,10
9,2,232,7
6,9,484,6
6,7,442,2
10,2,404,3
8,2,44,8
9,2,471,2
6,3,167,4
8,3,10,6
5,1,40,5
4,8,328,3
9,9,396,10
4,10,170,5
2,4,410,6
5,1,247,10
3,7,269,2
2,6,203,3
7,2,260,9
10,9,111,5
3,7,406,9
10,1,262,10
8,10,487,2
3,5,140,5
5,5,362,2
6,10,473,7
7,10,146,2
6,8,203,6
7,2,132,3
9,6,445,8
9,10,246,6
4,7,256,3
6,8,137,3
6,7,321,2
3,7,484,5
1,1,328,8
6,8,72,2
4,8,272,1
10,7,232,8
6,1,315,3
4,8,216,8
9,2,479,10
8,8,96,5
6,2,492,5
8,7,115,9
1,2,135,10
6,2,440,5
4,1,265,10
6,7,21,6
7,10,340,9
7,1,251,2
3,5,204,2
2,9,249,7
8,5,146,8
3,3,246,1
6,1,229,5
2,6,230,7
3,6,198,6
6,5,470,6
2,8,377,8
6,4,445,10
5,1,296,1
10,3,174,1
3,6,162,4
1,8,95,1
7,8,65,7
2,3,445,5
1,3,75,5
7,3,319,7
5,5,172,7
3,8,233,2
1,7,80,5
1,10,13,6
8,3,150,9
3,10,271,8
10,7,194,3
9,9,244,3
3,2,202,3
6,10,458,6
5,8,14,1
1,9,149,8
5,4,88,7
9,4,417,9
5,10,418,10
3,10,30,5
9,6,268,4
1,10,124,9
10,7,93,7
9,9,205,7
5,10,177,7
9,1,368,4
1,6,357,6
7,10,251,1
7,9,190,9
1,9,251,7
5,2,393,3
6,5,101,4
7,1,127,8
10,5,295,5
2,10,335,10
2,1,394,6
3,3,388,7
7,5,481,7
2,4,237,1
9,5,99,3
8,9,209,8
3,3,340,9
3,3,95,8
2,1,222,6
8,5,164,8
1,2,369,10
6,8,323,2
7,10,171,5
8,8,184,6
5,7,411,10
1,2,173,9
7,2,308,8
3,4,422,3
2,3,476,4
9,10,35,10
3,8,146,5
2,6,491,8
9,1,84,5
1,6,127,7
8,10,405,2
8,2,441,10
10,10,247,9
7,1,201,5
2,4,330,5
8,8,272,1
10,2,135,4
1,3,281,9
2,4,345,2
1,3,415,10
1,6,34,7
3,2,289,7
8,7,355,1
5,1,500,4
9,5,329,3
1,8,342,5
10,6,271,6
3,2,286,4
4,1,367,6
9,1,299,10
8,9,230,8
1,10,244,8
3,9,155,2
6,6,406,1
4,4,414,9
2,8,211,9
4,3,156,9
2,2,396,4
2,8,156,3
1,7,172,5
9,5,60,7
8,10,117,9
2,3,297,2
5,7,340,8
4,6,367,2
8,7,362,1
1,5,442,10
10,9,403,4
7,10,331,1
1,6,302,4
5,6,451,8
